"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Botswana","BWA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.099","49.461","47.889","46.303","46.012","45.743","45.918","45.782","47.164","48.319","46.983","45.572","44.308","45.69","46.972","48.386","49.838","51.204","52.134","48.569","48.907","49.49","49.774","50.004","50.139","50.282","50.475","50.948","51.062","49.159","49.348","49.341","49.302",
"Central African Republic","CAF","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.409","66.31","66.243","66.193","66.204","66.254","66.306","66.315","66.294","66.291","66.306","66.305","66.297","66.341","66.351","66.453","66.531","66.603","66.547","66.461","66.587","66.709","66.747","66.713","66.617","66.509","66.386","66.346","66.195","65.161","65.112","65.986","66.162",
"Canada","CAN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.709","58.342","57.904","58.383","58.669","58.449","58.967","59.737","60.563","61.269","61.151","61.739","62.446","62.637","62.601","62.677","63.286","63.317","61.414","61.437","61.613","61.586","61.715","61.358","61.264","61.084","61.532","61.59","61.971","57.836","60.17","61.568","61.651",
"Central Europe and the Baltics","CEB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7362387795255","55.2422256408986","53.8977797775768","53.4293061008287","53.1681280942355","52.7070717928873","52.9721240104181","52.6966911831105","51.6096296845588","50.3496617074642","49.6912787861641","47.985069510857","47.8987959998363","47.7471602807369","48.0374541702502","49.1355151783445","50.46717352228","51.3539527477111","50.4600068347568","50.0033292765024","49.9134948788888","50.1677239076158","50.2715757509162","51.3648860190336","51.9846966467842","52.728249072826","53.9938000263818","54.6396504140346","55.016002971626","54.4613913152373","54.3813063752084","55.3298200646824","55.4798255124321",
"Switzerland","CHE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.68","63.225","62.75","61.825","62.187","65.016","64.578","65.543","65.732","65.568","66.112","65.743","65.055","64.364","64.006","64.663","65.159","65.906","65.426","63.777","64.485","64.488","64.332","64.63","64.879","65.196","65.155","65.255","65.235","64.599","63.944","63.774","63.808",
"Channel Islands","CHI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.057","53.916","53.339","53.337","53.809","54.262","54.677","55.209","55.761","56.09","56.839","57.199","57.28","57.052","56.928","56.714","56.545","56.78","56.24","55.813","55.173","54.646","54.254","54.316","54.579","54.791","54.98","55.144","55.11","54.056","54.108","54.472","54.444",
"Chile","CHL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.527","51.967","52.407","52.005","53.413","52.434","52.577","52.602","50.328","50.045","49.294","48.966","49.654","49.771","50.534","51.749","52.515","53.111","51.751","53.754","55.627","55.783","56.074","56.019","56.012","55.645","55.774","55.563","55.286","50.194","52.209","55.178","55.751",
"China","CHN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.072","76.849","76.373","75.982","75.677","75.355","75.039","74.8","74.559","74.316","73.375","72.507","71.71","71.23","70.652","70.154","69.64","68.886","68.205","67.746","67.636","67.185","66.751","66.425","66.078","65.739","65.295","64.887","64.307","62.719","64.056","63.568","63.085",
"Cote d'Ivoire","CIV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.251","61.105","61.564","62.002","62.544","62.592","62.641","62.498","62.243","61.901","61.605","61.351","61.073","61.046","60.981","61.018","60.811","60.758","60.628","60.635","60.197","60.162","62.065","62.719","63.13","63.52","62.61","62.871","63.128","62.377","62.434","62.773","62.872",
"Cameroon","CMR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.741","74.662","74.532","74.829","75.108","75.692","75.832","75.914","75.916","75.871","75.871","76.435","77.055","77.692","78.178","78.711","79.229","77.316","75.261","73.097","72.231","71.369","70.475","69.555","69.532","69.483","69.391","69.297","69.207","68.315","67.944","69.146","69.294",
"Congo, Dem. Rep.","COD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.965","69.898","69.844","69.905","70.01","70.176","70.172","70.143","70.094","70.066","70.088","70.181","70.318","70.407","70.439","69.414","68.374","67.328","66.24","65.178","64.104","63.065","63.091","63.12","63.101","63.022","62.926","62.873","62.847","61.715","62.089","62.685","62.816",
"Congo, Rep.","COG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.006","54.926","54.785","54.478","54.442","54.527","54.602","54.538","54.293","54.478","54.46","54.631","54.42","54.393","54.472","54.648","54.359","54.308","54.397","54.823","54.765","54.753","54.48","54.612","54.229","53.91","53.538","53.448","53.706","51.795","52.182","53.87","54.382",
"Colombia","COL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.968","60.619","62.046","62.113","62.11","60.031","59.96","57.908","53.954","53.752","57.467","56.956","58.524","57.54","58.113","57.453","56.734","56.929","58.869","59.601","60.563","61.29","61.048","61.095","61.276","60.495","60.01","59.134","57.708","53.285","55.388","56.497","57.334",
"Comoros","COM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.464","40.622","40.562","40.514","40.374","40.236","40.284","40.152","40.083","40.048","39.956","39.845","39.612","39.489","39.776","40.064","40.329","40.626","40.915","41.239","41.524","41.806","42.099","42.352","42.232","42.14","42.077","42.015","41.884","41.123","41.323","41.586","41.69",
"Cabo Verde","CPV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.442","52.451","52.507","52.72","52.69","52.649","52.437","52.328","52.243","52.214","51.964","51.783","51.527","51.586","51.535","51.52","51.524","51.44","51.204","52.812","52.644","52.546","52.406","52.224","52.091","52.019","51.936","48.798","50.454","46.756","47.563","50.361","50.893",
"Costa Rica","CRI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.466","53.473","54.307","54.711","55.024","52.522","54.828","56.509","56.168","55.879","56.586","55.935","56.047","55.079","57.172","57.053","58.629","57.907","55.75","54.965","54.849","58.47","58.427","58.734","57.521","54.861","55.224","56.605","57.313","50.66","52.41","54.529","52.681",
"Caribbean small states","CSS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.4676301986431","56.181173948332","56.2434565686359","56.5501615554232","57.108458526774","56.9870566431282","57.059509426905","57.011191623374","56.8482836265989","57.0281742043945","56.9796139434528","56.81401050722","56.7980731172213","57.5706772110303","57.8097614754661","58.2260711231093","58.2638157325774","58.3050104005631","56.6892205810544","55.7749637701433","55.6640892254276","55.6987483584703","55.9003971639809","56.5380553915575","57.5941910441134","57.2782245042842","57.7745900636192","57.9250770262206","58.0462029778562","55.1201979119378","56.20400925629","57.0007384382055","57.9609346046926",
"Cuba","CUB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.292","47.54","46.638","46.89","47.246","47.867","48.223","48.663","48.872","49.512","50.344","50.794","51.454","51.934","52.323","52.821","53.183","53.472","54.671","53.625","53.813","53.773","53.972","54.336","54.68","54.922","55.165","55.26","55.533","52.02","53.125","55.239","55.596",
"Curacao","CUW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
